RBnumber,sequence_num,recovered_date,recovered_district,recovered_address,recovered_halfadd,recovered_room,recovered_city,recovered_state,recovered_zip,year,color,make,model,bodytype,licensenum,licensestate,licenseyear,VIN,approximate_value,stolen?,questionable_stolen?,steering_lock?,doors_locked?,ignition_locked?,key_in_vehicle?
Y74525,1,01/25/2011 12:00 AM,095,COUNCIL BLUFFS PD ST,,,,,,02,BLK,JEEP,TK,LL,RMF463,NE,11,1J4GL48K82W144893,12000,Y,N,N,N,N,N
Y74588,1,08/01/2011 12:00 AM,095,LAS VEGAS ST,,,LAS VEGAS,NV,,09,SIL,SUBA,FOR,UT,REU983,NE,11,JF2SH63679H781409,21000,Y,N,N,N,N,Y
Y74636,1,01/21/2011 12:00 AM,095,COUNCIL BLUFF PD ST,,,,,,97,BLK,OLDS,BRA,4D,RMX686,NE,11,1GHDT13W7V2717404,1500,Y,N,N,N,N,N
Y74652,1,01/25/2011 12:00 AM,078,10800 Q ST,,,OMAHA,NE,68137,90,GRY,FORD,TK,PK,RMI201,NE,11,1FTDF15Y8LKB53531,900,Y,N,N,N,N,N
Y74699,1,01/27/2011 12:00 AM,038,4112 N 25 AV,,,OMAHA,NE,68111,03,BLU,FORD,TK,PK,AG16860,TX,12,1FTWW33PX3EC38397,16000,Y,N,N,N,N,N
Y74702,1,,000,,,,,,,00,BLU,CHRY,CON,4DR,RVY728,NE,11,2C3HD36J8YH444425,8000,Y,N,N,N,N,N
Y74708,1,02/15/2011 12:00 AM,095,COUNCIL BLUFFS PD ST,,,,,,10,GRY,TOYT,COR,4D,RPH342,NE,11,1NXBU4EE6AZ327470,20000,Y,N,N,N,N,N
Y74710,1,10/11/2011 12:00 AM,095,13106 C PA,,,OMAHA,NE,68144,02,BLK,FORD,TK,LL,118027,KS,10,1FMZU72E42ZA96030,,Y,N,N,N,N,Y
Y74730,1,01/27/2011 12:00 AM,091,UNK ST,,,COUNCIL BLUFFS,IA,,04,RED,DODG,TK,PK,PYC612,NE,11,1D7HU18D64S523043,,Y,N,N,N,N,N
Y74742,1,02/25/2011 12:00 AM,065,2300 M ST,,,OMAHA,NE,68107,91,WHI,OLDS,CUT,4D,39G664,NE,11,1G3AJ54N4M6307694,1600,Y,N,N,N,N,N
Y74746,1,02/17/2011 12:00 AM,072,5921 F ST,,,OMAHA,NE,68117,86,RED,NISS,TK,PK,RHZ672,NE,11,JN6ND11S3GW013409,300,Y,N,N,N,N,N
Y74759,1,,000,,,,,,,95,WHI,DODG,INT,4D,PKO759,NE,10,1B3HD56T9SF534167,2500,Y,N,N,N,N,N
Y74773,1,,000,,,,,,,95,BLU,,MAG,ATV,,,00,UNK,2200,Y,N,N,N,N,N
Y74808,1,,000,,,,,,,96,GRN,FORD,TAU,4D,14421,NE,11,1FALP52U3TG134024,500,Y,N,N,Y,N,N
Y74824,1,,000,,,,,,,82,MAR,CHEV,MOC,2D,,,00,1G1AZ37J8CB135626,,N,N,N,N,N,Y
Y74843,1,05/25/2011 12:00 AM,071,9691 MEADOW DR,,,OMAHA,NE,68114,02,BLK,CHEV,CTA,UT,OOQ639,NE,11,1GNEC13Z12R238720,10000,Y,N,N,N,N,N
Y74856,1,01/26/2011 12:00 AM,039,3000 LAKE ST,,,OMAHA,NE,68111,99,RED,HOND,ACC,2D,PAN222,NE,11,1HGCG325XXA003321,5000,Y,N,N,N,N,Y
Y74897,1,03/24/2011 12:00 AM,071,4707 OHERN ST,,,OMAHA,NE,68117,10,RED,NISS,TK,PK,RVY406,NE,12,1N6AD0EV7AC404228,30000,Y,N,N,N,N,Y
Y74915,1,01/27/2011 12:00 AM,039,3200 TAYLOR ST,,,OMAHA,NE,68111,96,BLU,FORD,TK,PK,564XLD,IA,11,1FTCR14XXTPB15622,,N,N,N,N,N,N
Y74944,1,,000,,,,,,,07,GRY,VOLK,GTI,2D,5ZHF150,CA,11,WVWEV71K37W199603,39000,Y,N,N,N,N,N
Y74945,1,,000,,,,,,,06,BLK,JEEP,TK,UT,RBL756,NE,11,1J4HR58N06C159785,11000,Y,N,N,N,N,N
Y74963,1,02/24/2011 12:00 AM,036,4232 N 16 ST,,,OMAHA,NE,68110,06,BLU,INFI,,4D,RML683,NE,11,JNKCV51F06M601908,20000,Y,N,N,N,N,Y
Y74972,1,01/27/2011 12:00 AM,032,3300 ERNST ST,,,OMAHA,NE,68112,00,SIL,FORD,TK,LL,PWW973,NE,11,2FMZA5348YBC06382,,Y,N,N,N,N,N
Y74980,1,01/27/2011 12:00 AM,019,1228 N 53 ST,,,OMAHA,NE,68132,99,PLE,JEEP,TK,LL,RIC886,NE,11,1J4GW68N3XC550134,,Y,N,N,N,N,N
Y75002,1,01/28/2011 12:00 AM,091,UNK ST,,,COUNCIL BLUFFS,IA,,97,BLU,JEEP,TK,UT,PEO618,NE,11,1J4FY29P7VP471764,5000,Y,N,N,N,N,N
Y72711,1,,000,,,,,,,02,MAR,DODG,RAM,TRK,803XLD,IA,11,,,N,N,N,N,N,N
Y75090,1,,000,,,,,,,88,WHI,BUIC,CNT,4D,RJA914,NE,10,1G4AL51WXJT436507,,Y,N,N,N,N,N
Y75091,1,02/04/2011 12:00 AM,035,2400 FORT ST,,,OMAHA,NE,68111,98,GLD,FORD,TAU,4D,,,00,1FAFP52U5WA248739,3400,Y,N,N,N,N,N
Y75200,1,01/28/2011 12:00 AM,083,12230 ANNE ST,,,OMAHA,NE,68137,93,BLK,MAZD,,2D,,,00,1YVGE31B6P5173126,,Y,N,N,N,N,N
Y75202,1,01/28/2011 12:00 AM,095,UNK ST,,,LAURENS,IA,,00,GRY,DODG,,VAN,GR8DAYS,NE,11,JHMCB7550NC017048,,Y,N,N,N,N,N
Y75216,1,,000,,,,,,,95,ONG,CHEV,SUB,SUV,RVN012,NE,11,1GNFK16K8SJ347065,7000,Y,N,N,Y,N,Y
Y75225,1,01/28/2011 12:00 AM,101,8221 TUCKER ST,,,OMAHA,NE,68122,08,GRY,GMC,,TK,57A35A6,AL,10,1GTHK23608F172465,30000,Y,N,N,N,N,Y
Y75227,1,01/29/2011 12:00 AM,015,10300 BLAIR HIGH RD,,,OMAHA,NE,68142,00,WHI,FORD,TAU,4D,RMS779,NE,11,1FAFP5322YG171146,,Y,N,N,N,N,N
Y75304,1,,000,,,,,,,02,BLK,LINC,,4D,RIE813,NE,11,1LNHM87A62Y673718,,N,N,N,N,N,N
Y75331,1,03/05/2011 12:00 AM,075,6000 L ST,,,OMAHA,NE,68117,94,MAR,HOND,ACC,4D,RKI894,NE,11,JHMCD5658RC049457,1500,Y,N,N,N,N,N
Y75461,1,01/30/2011 12:00 AM,063,1913 S 40 ST,,,OMAHA,NE,68105,89,SIL,BUIC,ELE,4D,PAO591,NE,11,1G4CX54C2K1624174,400,N,N,N,N,N,N
Y75470,1,02/08/2011 12:00 AM,095,UNKNOWN ST,,,COUNCIL BLUFFS,IA,,99,BLK,JEEP,TK,LL,PXV686,NE,11,1J4FF68S1XL587426,3800,Y,N,N,N,N,Y
Y75490,1,02/04/2011 12:00 AM,095,COUNCIL BLUFFS PD ST,,,,,,01,MAR,HYUN,SON,4D,PYA326,NE,11,KMHWF35V61A495312,1500,Y,N,N,N,N,Y
Y75496,1,01/30/2011 12:00 AM,064,3200 F ST,,,OMAHA,NE,68107,02,WHI,CHEV,TK,PK,OJW290,NE,11,3GNEK13T62G180554,6000,Y,N,N,N,N,Y
Y75503,1,02/07/2011 12:00 AM,049,2400 LAKE ST,,,OMAHA,NE,68111,04,WHI,DODG,STR,2D,HUNNIB,NE,12,4B3AG52H84E047429,12000,Y,N,N,N,N,N
Y75525,1,,000,,,,,,,97,BLU,SATR,,4DR,RII497,NE,11,1G8ZH5281VZ274739,500,Y,N,N,N,N,N
Y75560,1,,000,,,,,,,98,SIL,CHEV,,UT,23F628,NE,10,1GNDT13W7W2249334,5000,Y,N,N,Y,N,Y
Y75570,1,,000,,,,,,,11,BLK,FORD,,4DR,PAH218,NE,11,3FAHP0KC5BR215114,19820,Y,N,N,N,N,N
Y72795,1,01/18/2011 12:00 AM,061,1743 S 9 ST,,,OMAHA,NE,68108,01,TAN,CHEV,,4D,PYR527,NE,11,1Y1SK52831Z409881,,N,N,N,N,N,Y
Y75599,1,,000,,,,,,,97,GRN,CHEV,,SUV,RAK493,NE,11,1GNDT13W0V2191808,,N,N,N,N,N,N
Y72853,1,,000,,,,,,,88,BLK,GMC,,PK,RAB828,NE,11,1GTDK14K1JZ539768,,Y,N,N,N,N,N
Y72867,1,,000,,,,,,,99,BLK,JEEP,TK,LL,REG269,NE,11,1J4GW68S5XC589961,,N,N,N,N,N,N
Y72880,1,02/05/2011 12:00 AM,045,4400 CUMING ST,,,OMAHA,NE,68131,94,BLU,MAZD,,2D,RAL406,NE,11,JM1BG2327R0758234,800,Y,N,N,N,N,N
Y72882,1,01/18/2011 12:00 AM,061,1900 S 13 ST,,,OMAHA,NE,68108,00,BLU,MERC,COU,2D,RNX612,NE,11,1ZWFT61L5Y5636952,,N,N,N,N,N,N
Y75687,1,,000,,,,,,,08,BLK,DODG,TK,PK,PTT347,NE,10,3D7KS29A38G167413,30000,Y,N,N,N,N,N
Y75694,1,,000,,,,,,,98,WHI,OLDS,,4DR,BB22MX,TX,10,1G3GR62C9W4119844,2000,Y,N,N,N,N,N
Y75701,1,02/06/2011 12:00 AM,095,1 UNKNOWN ST,,,COUNCIL BLUFFS,IA,,04,GRY,FORD,TK,PK,265TZX,IA,11,1FTSW31P84ED73073,25000,Y,N,N,N,N,N
Y75726,1,02/02/2011 12:00 AM,021,6500 MIAMI ST,,,OMAHA,NE,68104,95,GRN,FORD,TK,PK,RIU683,NE,11,1FTEX14H7SKA11074,1000,Y,N,N,N,N,N
Y75780,1,,000,,,,,,,03,SIL,MERC,,UT,PDP001,NE,11,4M2DU86W83ZJ41442,15000,N,N,N,N,N,N
Y75809,1,01/30/2011 12:00 AM,066,1374 S 74 ST,,,OMAHA,NE,,09,BLU,KIA,,4DR,RAK658,NE,11,KNADE223196453721,,N,N,N,N,N,Y
Y75826,1,02/04/2011 12:00 AM,081,10922 PRAIRIE VILLAGE DR,,,OMAHA,NE,68144,93,RED,CHEV,TK,PU,PUR734,NE,11,2GCEK19KXP1168513,,Y,N,N,N,N,N
Y75831,1,,000,,,,,,,00,,,,,,,00,,,N,N,N,N,N,N
Y75831,2,02/09/2011 12:00 AM,022,5500 NORTHWEST DR,,,OMAHA,NE,68104,06,GRN,HYUN,SON,4D,PAG458,NE,11,KMHEU46C56A075049,5000,N,N,N,N,N,Y
Y75832,1,02/02/2011 12:00 AM,014,9600 PARKER ST,,,OMAHA,NE,,95,WHI,HOND,ACC,4D,RAM915,NE,11,JHMCD5663SC055374,,Y,N,N,N,N,Y
Y75871,1,01/31/2011 12:00 AM,062,2500 MARTHA ST,,,OMAHA,NE,68105,92,TAN,HOND,ACC,4DR,RML665,NE,11,JHMCB7550NCO17048,5000,Y,N,N,N,N,N
Y75880,1,01/31/2011 12:00 AM,072,4202 S 50 ST,,,OMAHA,NE,68117,00,RED,AUDI,,4D,RJH231,NE,11,WAUDC28D0YA077854,2000,Y,N,N,N,N,Y
Y75895,1,,000,,,,,,,95,TAN,TOYT,,SUV,RPN150,NE,11,JTBVN39W0S0200447,4500,Y,N,N,N,N,Y
Y75910,1,01/31/2011 12:00 AM,026,4648 BROWNE ST,,,OMAHA,NE,68104,05,SIL,JEEP,,SUV,11590,NE,11,1J4GR48K95C694723,,Y,N,N,N,N,Y
Y75925,1,02/03/2011 12:00 AM,065,2300 D ST,,,OMAHA,NE,68107,06,BLU,CHEV,,SUV,232SYX,IA,11,3GNDA13D86S615391,,Y,N,N,Y,N,N
Y75927,1,,000,,,,,,,94,DBL,FORD,,SUV,,,00,1FMDU34X7RUD48667,1000,Y,N,N,N,N,N
Y75940,1,02/09/2011 12:00 AM,026,5208 N 48 AV,,,OMAHA,NE,68104,94,WHI,DODG,,PK,RBH551,NE,11,1B7GL23Y3RS725595,1200,Y,N,N,N,N,N
Y75941,1,02/02/2011 12:00 AM,095,8900 WYOMING ST,,,OMAHA,NE,,99,RED,FORD,TK,LL,REH087,NE,11,1FMZU24E1XUC61343,,Y,N,N,N,N,N
Y75952,1,02/07/2011 12:00 AM,024,3504 N 58 ST,,,OMAHA,NE,68104,99,BLK,MAZD,,PK,PYA911,NE,11,4FUYR12C9XTM33077,2000,Y,N,N,N,N,N
Y75961,1,,000,,,,,,,71,RED,FORD,,PK,,,00,F10GKK30436,4000,Y,N,N,N,N,N
Y75967,1,01/31/2011 12:00 AM,065,2300 A ST,,,OMAHA,NE,,95,PLE,FORD,,SUV,RMY046,NE,11,1FMDU34X1SZB15019,1500,N,N,N,N,N,N
Y75974,1,01/31/2011 12:00 AM,057,2500 HICKORY ST,,,OMAHA,NE,68105,04,BLU,DODG,NEO,4D,918GXS,IA,11,1B3ES26C04D505694,,N,N,N,N,N,N
Y72885,1,,000,,,,,,,00,BLK,,,,NONE,,00,NONE,,Y,N,N,N,N,N
Y76062,1,02/01/2011 12:00 AM,055,4100 MASON ST,,,OMAHA,NE,68105,93,BLU,NISS,ALT,4D,RNZ801,NE,11,1N4BU31F7PC222017,,Y,N,N,N,N,N
Y76079,1,02/10/2011 12:00 AM,085,2322 S 122 ST,,,OMAHA,NE,,04,BLK,PONT,,4D,52D743,NE,11,2G2WP522X41201730,7000,Y,N,N,N,N,Y
Y76112,1,05/17/2011 12:00 AM,095,COUNCIL BLUFFS PD ST,,,,,,06,SIL,MAZD,MX3,4D,PUH585,NE,11,JM1BK32FX61475180,10000,Y,N,N,N,N,N
Y76134,1,,000,,,,,,,05,BLK,DODG,RAM,PK,RIJ723,NE,10,1D7HU18D455268569,,Y,N,N,N,N,N
Y76138,1,02/02/2011 12:00 AM,024,6025 SORENSEN PW,,,OMAHA,NE,68152,04,SIL,DODG,RAM,TK,RWF804,NE,00,1D7HA18N64S501948,,Y,N,N,N,N,N
Y76140,1,02/04/2011 12:00 AM,071,5110 S 49 ST,,,OMAHA,NE,68117,97,RED,NISS,,2D,RHY940,NE,11,1N4AB42D9VC501650,3000,Y,N,N,N,N,Y
Y76144,1,02/01/2011 12:00 AM,095,COUNCIL BLUFFS IA ST,,,,,,96,GRN,DODG,TK,PK,292734,NE,11,1B7HF16Y0TJ189557,,Y,N,N,N,N,Y
Y76221,1,,000,,,,,,,01,GRN,DODG,,SUV,20DH29,NE,11,1B4HS28N01F633330,,N,N,N,N,N,N
Y76259,1,02/01/2011 12:00 AM,061,800 BANCROFT ST,,,OMAHA,NE,68108,93,RED,LEXS,,2D,REX982,NE,11,JT8JZ31C3P0011958,,Y,N,N,N,N,N
Y76324,1,,000,,,,,,,94,TAN,OLDS,CUT,4DR,RID314,NE,11,1G3AG55MXR6433991,2000,Y,N,N,N,N,N
Y76327,1,,000,,,,,,,97,GRN,TOYT,,UT,RHQ576,NE,11,JT3HN86R2V0124212,6800,Y,N,N,N,N,N
Y76330,1,02/09/2011 12:00 AM,074,809 S 70 PA,,,OMAHA,NE,68106,09,WHI,DODG,RAM,PK,RBM239,NE,11,1D3HV13P69S736386,26000,Y,N,N,N,N,N
Y76335,1,02/02/2011 12:00 AM,066,1700 S ST,,,OMAHA,NE,68107,00,YEL,FORD,TK,PK,PNJ893,NE,11,1FTNF20L3YEA58452,,Y,N,N,N,N,Y
Y76336,1,02/07/2011 12:00 AM,032,2885 MARY ST,,,OMAHA,NE,68112,97,BLK,DODG,RAM,PK,OPU145,NE,11,3B7HF13Z6VG715160,3500,Y,N,N,N,N,N
Y76342,1,02/24/2011 12:00 AM,091,1214 WILL ROYAL RD,,,BELLEVUE,NE,,99,BLU,CADI,DEV,4DR,RBM885,NE,11,1G6KE54Y6XU775951,2500,Y,N,N,N,N,N
Y76343,1,02/02/2011 12:00 AM,083,12830 DEAUVILLE__________ DR,,,OMAHA,NE,,09,BLK,TOYT,CAM,4DR,RBG208,NE,11,4T1BE46K59U344757,15000,Y,N,N,N,N,N
Y76348,1,02/10/2011 12:00 AM,077,7530 PACIFIC ST,,,OMAHA,NE,68114,02,WHI,OLDS,BRA,UT,RMR857,NE,11,1GHDT13S222157476,5000,Y,N,N,N,N,N
Y76349,1,02/02/2011 12:00 AM,095,DOUGLAS COUNTY ST,,,,,,04,RED,CHEV,TK,PK,RDR138,NE,11,1GCEK14T64Z172786,10000,Y,N,N,N,N,N
Y76350,1,,000,,,,,,,08,WHI,DODG,,PK,PZV668,NE,11,1D7HU18288S595060,,N,N,N,N,N,N
Y76370,1,04/20/2011 12:00 AM,018,8309 CALIFORNIA ST,,,OMAHA,NE,68114,99,WHI,FORD,TK,PK,RMG752,NE,11,1FTNWS21F4XEC42094,11000,N,N,N,N,N,N
Y76395,1,,000,,,,,,,04,BLU,DODG,STR,4D,ACK9202,AZ,00,1B8EL46X14N308372,,N,N,N,N,N,N
Y76399,1,02/24/2011 12:00 AM,095,UNK ST,,,SEATTLE,WA,,10,BLK,DODG,,2D,PAE531,NE,11,2B3CJ5DT6AH321518,29046,Y,N,N,N,N,N
Y76419,1,02/17/2011 12:00 AM,057,1311 S 25 ST,,,OMAHA,NE,68105,07,GRY,FORD,,PK,OOA954,NE,11,1FTRX14W07KC96143,13000,Y,N,N,N,N,Y
Y73031,1,01/27/2011 12:00 AM,076,8216 GROVER_____________ ST,,,OMAHA,NE,,00,BLK,FORD,EXP,UT,RMS986,NE,11,1FMCU70E6YVA29475,3000,Y,N,N,N,N,Y
Y73055,1,,000,,,,,,,04,WHI,FORD,EXP,4D,AND,FL,11,1FMFU18L64LB25541,8000,N,N,N,N,N,Y
Y73079,1,01/19/2011 12:00 AM,037,2121 LARIMORE AV,,,OMAHA,NE,68110,04,GLD,OLDS,,4D,047ROB,IA,11,1G3NL52F04C150156,,N,N,N,N,N,N
Y76483,1,03/03/2011 12:00 AM,052,1046 S 29 ST,,,OMAHA,NE,68105,99,DBL,FORD,,PK,202342,NE,11,1FTNW21S1XEE21500,18000,Y,N,N,N,N,Y
Y76522,1,02/03/2011 12:00 AM,063,2606 S 35 ST,,,OMAHA,NE,68105,05,RED,CHEV,,UT,PMX573,NE,11,1GNEK13T55J221548,15000,Y,N,N,N,N,N
Y76529,1,02/03/2011 12:00 AM,063,2326 S 34 ST,,,OMAHA,NE,68105,03,BLK,GMC,TK,LL,PUU389,NE,05,1GKFK66U43J279019,,Y,N,N,N,N,Y
Y76536,1,02/03/2011 12:00 AM,072,5600 GROVER ST,,,OMAHA,NE,68106,06,WHI,DODG,,4D,383SLK,IA,11,1B3EL46XX6N278636,,N,N,N,N,N,N
Y76542,1,02/10/2011 12:00 AM,059,1300 PACIFIC ST,,,OMAHA,NE,68108,90,GRY,BUIC,,4D,RIH236,NE,11,1G4CX54C6L1616600,1500,Y,N,N,N,N,N
Y76550,1,02/06/2011 12:00 AM,019,6008 SEWARD ST,,,OMAHA,NE,68104,98,RED,JEEP,TK,LL,561XMN,NE,11,1J4GZ58S7WC206778,,Y,N,N,N,N,Y
Y76551,1,02/05/2011 12:00 AM,024,5604 CAMDEN AV,,,OMAHA,NE,68104,04,GLD,DODG,TK,PK,OZM525,NE,11,1D7HU18D14S698932,,Y,N,N,N,N,N
Y76564,1,,000,,,,,,,05,BLK,,,TL,88698,NE,00,4J6US12195B075170,2500,Y,N,N,N,N,N
Y76569,1,02/03/2011 12:00 AM,071,5316 ORCHARD AV,,,OMAHA,NE,68117,01,WHI,FORD,,TK,RDT584,NE,11,1FTNF21L51EB28439,,Y,N,N,N,N,N
Y76570,1,,000,,,,,,,08,BLK,DODG,R15,PK,RBL518,NE,11,1D7HU18278J148645,,N,N,N,N,N,N
Y76614,1,02/04/2011 12:00 AM,054,2700 ST MARYS AV,,,OMAHA,NE,68105,95,BLK,JEEP,TK,LL,PDA523,NE,11,1J4GZ58S3SC553423,3000,Y,N,N,N,N,N
Y76646,1,03/03/2011 12:00 AM,029,5006 HAMILTON ST,,,OMAHA,NE,68132,94,BLU,TOYT,CAM,2D,RDA997,NE,11,4T1SK12C2RU437399,1000,Y,N,N,N,N,Y
Y76737,1,02/08/2011 12:00 AM,085,11703 FRANCES ST,,,OMAHA,NE,68144,92,GRN,HOND,ACC,4D,RHR688,NE,11,JHMCB7659NC040875,1500,Y,N,N,N,N,N
Y76742,1,02/04/2011 12:00 AM,055,3200 CENTER ST,,,OMAHA,NE,68105,92,RED,TOYT,,UT,RPM914,NE,11,JT3VN39W3N8042885,1500,N,N,N,N,N,Y
Y76754,1,,000,,,,,,,98,BLU,DODG,,PK,PMR862,NE,10,3B7HF13Z3WG114953,,N,N,N,N,N,N
Y76758,1,02/08/2011 12:00 AM,066,2200 L ST,,,OMAHA,NE,68107,05,GRY,CHEV,TRA,UT,RVR554,NE,11,1GNDT13S052127913,8000,Y,N,N,N,N,N
Y76761,1,02/06/2011 12:00 AM,035,5348 N 27 ST,,,OMAHA,NE,68111,99,WHI,FORD,EXP,UT,360YPR,WA,11,1FMZU34E8XZA42131,3500,Y,N,N,N,N,N
Y76767,1,03/05/2011 12:00 AM,095,1 UNK ST,,,CO BLUFFS,IA,,95,GRN,SATR,SL,4DR,RHR831,NE,10,1G8ZK5272SZ331096,2000,Y,N,N,N,N,N
Y76817,1,02/04/2011 12:00 AM,064,4900 S ST,,,OMAHA,NE,68117,90,SIL,HOND,ACC,4DR,RMR866,NE,11,JHMCB7668LC037150,2000,Y,N,N,N,N,N
Y73111,1,,000,,,,,,,00,WHI,FORD,,VAN,RCX461,NE,11,1FBSS31LXYHB72101,,N,N,N,N,N,N
Y76894,1,02/15/2011 12:00 AM,043,4424 PARKER ST,,,OMAHA,NE,68111,91,BLU,HOND,ACC,4D,RJN952,NE,11,JHMCB7681MC012075,,Y,N,N,N,N,N
Y76946,1,,000,,,,,,,03,SIL,TOYT,,UT,PDH330,NE,11,5TDBT48A43S178628,4000,N,N,N,N,N,N
Y77093,1,,000,,,,,,,94,RED,OLDS,,4D,PKJ314,NE,11,1G3AG55M3R6357692,5000,Y,N,N,N,N,N
Y77132,1,02/05/2011 12:00 AM,072,4504 S 48 AV,,,OMAHA,NE,68117,03,GRY,FORD,,PK,PZY237,NE,11,1FTRW08L63KD51119,,N,N,N,N,N,N
Y77159,1,02/06/2011 12:00 AM,023,6509 GRAND AV,,,OMAHA,NE,68104,99,TAN,CHRY,LHS,4D,RWC542,NE,12,2C3HC56G0XH557447,1700,N,N,N,N,N,Y
Y77223,1,02/06/2011 12:00 AM,023,6002 AMES AV,,,OMAHA,NE,68104,97,WHI,CHEV,LUM,4DR,,,00,2G1WL52M7V9101914,1000,Y,N,N,N,N,N
Y77274,1,,000,,,,,,,99,BLK,FORD,TK,PK,365444,NE,00,1FTSW31F5XEC80913,1500,N,N,N,N,N,N
Y77276,1,02/06/2011 12:00 AM,068,3200 R ST,,,OMAHA,NE,68107,97,MAR,FORD,,PK,RBF431,NE,11,1FTEX08L8VKC18487,5000,Y,N,N,N,N,Y
Y77280,1,02/06/2011 12:00 AM,038,2100 PINKNEY ST,,,OMAHA,NE,68110,97,MAR,CHEV,MAL,4D,RIR277,NE,11,1G1ND52M9V6121081,,N,N,N,N,N,N
Y77290,1,,000,,,,,,,05,BLU,JEEP,,UT,RCC487,NE,11,1J4GL48K35W530156,8000,N,N,N,N,N,N
Y77301,1,02/06/2011 12:00 AM,068,3200 R ST,,,OMAHA,NE,68107,04,RED,DODG,TK,PK,295601,NE,12,1D7HG48N74S608054,,Y,N,N,N,N,N
Y77305,1,04/02/2011 12:00 AM,061,RIVERVIEW/SPRING ST,,,,,,09,RED,FORD,,2D,28A711,NE,11,1FAHP32N39W168305,16000,Y,N,N,N,N,N
Y77311,1,,000,,,,,,,04,RED,LINC,,4D,PUJ948,NE,11,1LNHM83W14Y635091,14000,Y,N,N,N,N,N
Y73147,1,,000,,,,,,,01,MAR,FORD,TAU,4DR,RAH255,NE,11,1FAFP55221G242333,,N,N,N,N,N,N
Y73148,1,01/29/2011 12:00 AM,019,5700 FRANKLIN ST,,,OMAHA,NE,,99,WHI,DODG,R15,TK,PHX103,NE,10,1B7HF13Z6XJ502582,5000,Y,N,N,N,N,N
Y73156,1,01/19/2011 12:00 AM,059,1011 MASON ST,,,OMAHA,NE,68108,01,MAR,DODG,R15,PK,HB605,IA,11,3B7HF13Z51M552707,,N,N,N,N,N,N
Y77328,1,02/10/2011 12:00 AM,091,UNK ST,,,COUNCIL BLUFFS,IA,,06,SIL,DODG,RAM,TK,RIR061,NE,11,3D7KS28DX6G132134,15000,Y,N,N,N,N,N
Y77346,1,,000,,,,,,,95,BLK,FORD,,UT,PYK652,NE,11,1FMDU34X5SZB71044,2300,Y,N,N,N,N,N
Y77476,1,02/11/2011 12:00 AM,062,3123 S 18 ST,,,OMAHA,NE,68108,01,GRY,CHEV,TK,UT,PYQ778,NE,11,3GNFK16T01G220321,,Y,N,N,N,N,Y
Y77478,1,,000,,,,,,,02,BLU,JEEP,TK,LL,PUN348,NE,11,1J46L41862W262540,,Y,N,N,N,N,N
Y77494,1,02/07/2011 12:00 AM,082,10715 O ST,,,OMAHA,NE,68127,82,,,,TL,86R813,TX,11,14HU08107CHUV4476,,N,N,N,N,N,N
Y77392,1,02/16/2011 12:00 AM,016,15400 F ST,,,OMAHA,NE,68137,95,SIL,NISS,,UT,RHN355,NE,11,JN8HD17Y8SW082556,1000,Y,N,N,N,N,N
Y78378,1,02/18/2011 12:00 AM,091,16800 WEST MAPLE RD,,,OMAHA,NE,68118,08,WHI,FORD,TK,VAN,RKL404,NE,11,1FTNE14W98DB34022,10000,Y,N,N,N,N,N
Y78379,1,03/01/2011 12:00 AM,062,2100 CASTELAR ST,,,OMAHA,NE,68108,98,WHI,GMC,,UTIL,PYK741,NE,11,1GKDT13W4W2559437,,Y,N,N,N,N,N
Y78381,1,02/11/2011 12:00 AM,066,1515 WASHINGTON ST,,,OMAHA,NE,68107,99,WHI,FORD,TK,UT,PCT121,NE,11,1FMYU24E0XUB50679,5000,Y,N,N,N,N,N
Y78397,1,02/12/2011 12:00 AM,067,2522 JEFFERSON ST,,,OMAHA,NE,68107,96,GRN,MAZD,,4D,OJK014,NE,11,1YVGE22C1T5564535,1500,Y,N,N,N,N,N
Y78409,1,02/12/2011 12:00 AM,037,5100 FLORENCE BD,,,OMAHA,NE,68110,99,SIL,DODG,NEO,2D,RMI459,NE,11,3B3ES42Y2XT559364,3000,N,N,N,N,N,Y
Y78422,1,02/11/2011 12:00 AM,095,I80 @ MM 401 ST,,,,,,01,SIL,CHEV,,4D,RPR343,NE,11,1G1JC524617356088,3500,Y,N,N,N,N,Y
Y78437,1,02/11/2011 12:00 AM,035,2400 HARTMAN AV,,,OMAHA,NE,68111,02,WHI,MERC,,4D,RMU171,NE,11,1MEFM5344YG614982,3500,Y,N,N,N,N,N
Y78442,1,02/23/2011 12:00 AM,056,3004 MARCY ST,,,OMAHA,NE,68105,97,RED,FORD,TK,PK,OWQ088,NE,11,1FTEF17L1VKB94852,2500,Y,N,N,N,N,N
Y78446,1,,000,,,,,,,93,BLU,FORD,,4D,940XDN,IA,12,1FACP52U9PG233503,1500,Y,N,N,N,N,N
Y78464,1,,000,,,,,,,99,RED,DODG,,VAN,,,00,1B4GP44L7XB876565,,N,N,N,N,N,N
Y78583,1,02/18/2011 12:00 AM,071,4100 L ST,,,OMAHA,NE,68107,02,BLK,CHEV,,PK,383PRX,IA,11,1GCGK13U32F230693,16000,Y,N,N,N,N,Y
Y78586,1,02/12/2011 12:00 AM,031,9319 N 30 ST,,,OMAHA,NE,68112,06,WHI,,,PK,PHV876,NE,10,1FVACXDJ96HV97283,,N,N,N,N,N,N
