Class,DescriptionOfClass,BusinessName,Location 2
C     ,Beer/liquor on/off sale,CUBBY'S                             ,"601 SO 13TH ST
OMAHA, NE
(41.25437148488217, -95.9332044525808)"
C     ,Beer/liquor on/off sale,CAPPY'S FOOD AND SPIRITS            ,"5059 108TH ST
OMAHA, NE
(41.2066179222865, -96.0813488222062)"
C     ,Beer/liquor on/off sale,CHOP'S BOWLING                      ,"2518 SO 13TH ST
OMAHA, NE
(41.2355273608768, -95.93333133437807)"
C     ,Beer/liquor on/off sale,"CABIN, THE                          ","9226 MORMON BRIDGE
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,AMERICAN DREAM                      ,"2607 120 STREET
OMAHA, NE
(41.23529194541339, -96.10029502017161)"
C     ,Beer/liquor on/off sale,CASCIO'S STEAKHOUSE                 ,"1620 10 STREET
OMAHA, NE
(41.24326933049374, -95.92944376048196)"
C     ,Beer/liquor on/off sale,"CADDY SHACK, THE                    ","2076 117 AVENUE
OMAHA, NE
(41.27838087632386, -96.09830364943933)"
C     ,Beer/liquor on/off sale,CLUBHOUSE LOUNGE                    ,"3936 90TH STREET
OMAHA, NE
(41.294970720175876, -96.05277832495149)"
C     ,Beer/liquor on/off sale,CLUB TURF                           ,"2404 60TH STREET
OMAHA, NE
(41.2805308224406, -96.00488178523906)"
C     ,Beer/liquor on/off sale,CALIFORNIA BAR                      ,"510 12 N 33 STREET
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,CLANCY'S PUB                        ,"2905 168 STREET
OMAHA, NE
(41.23160564639217, -96.17676875774396)"
C     ,Beer/liquor on/off sale,CHINA PALACE                        ,"661 46TH STREET
OMAHA, NE
(41.2654258585932, -95.98293781702142)"
C     ,Beer/liquor on/off sale,CONVENIENT WORLD                    ,"2302 20TH STREET
OMAHA, NE
(41.238148474880745, -95.94229853393091)"
C     ,Beer/liquor on/off sale,CILANTROS MEXICAN BAR & GRILL       ,"14440 F STREET
OMAHA, NE
(41.21959137451762, -96.13954587569651)"
C     ,Beer/liquor on/off sale,CANIGLIA'S VENICE INN               ,"6920 PACIFIC ST
OMAHA, NE
(41.24874739470749, -96.02118610342035)"
C     ,Beer/liquor on/off sale,COHEN & KELLY'S LOUNGE              ,"13075 CENTER RD
OMAHA, NE
(41.2339886567479, -96.11839415026924)"
C     ,Beer/liquor on/off sale,CANDLELIGHT LOUNGE                  ,"5031 GROVER ST
OMAHA, NE
(41.22691488236452, -95.9913129787994)"
C     ,Beer/liquor on/off sale,CARIBBEAN DELIGHTS INC.             ,"2304 72ND ST
OMAHA, NE
(41.279665388043924, -96.02396645502732)"
C     ,Beer/liquor on/off sale,CRESCENT MOON ALE HOUSE             ,"3578 FARNAM STREET
OMAHA, NE
(41.25774960822082, -95.96631846641276)"
C     ,Beer/liquor on/off sale,CARLISLE HOTEL OMAHA                ,"10909 M STREET
OMAHA, NE
(41.211929150827984, -96.08418361157283)"
C     ,Beer/liquor on/off sale,CHROME                              ,"8548 52 PARK DR
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,SHERATON OMAHA HOTEL                ,"655 108 AVENUE
OMAHA, NE
(41.266466375219686, -96.08281707304594)"
C     ,Beer/liquor on/off sale,CORNER POCKET                       ,"4201 38 STREET
OMAHA, NE
(41.218478825029685, -95.9698760117943)"
C     ,Beer/liquor on/off sale,DAVE'S PUB                          ,"8803 8805 MAPLE ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,DOUBLETREE HOTEL OMAHA DOWNTOWN     ,"1616 DODGE STREET
OMAHA, NE
(41.25965617092294, -95.93745922249252)"
C     ,Beer/liquor on/off sale,D'S FRONTIER                        ,"8516 NO 30TH ST
OMAHA, NE
(41.33779826204881, -95.96082360881377)"
C     ,Beer/liquor on/off sale,DOC'S BAR & GRILL                   ,"4303 89 STREET
OMAHA, NE
(41.21738943214101, -96.04890985230051)"
C     ,Beer/liquor on/off sale,DO-HICKEY'S BAR & GRILL             ,"4936 40 SO 135TH ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,"DIGZ, THE                           ","4428 140 STREET
OMAHA, NE
(41.21517326631849, -96.13374503989095)"
C     ,Beer/liquor on/off sale,DC'S SALOON                         ,"610 14 STREET
OMAHA, NE
(41.26487643051856, -95.93447897105253)"
C     ,Beer/liquor on/off sale,DOUGER'S                            ,"4401 CUMING STREET
OMAHA, NE
(41.26788410403225, -95.97871166356974)"
C     ,Beer/liquor on/off sale,DONOHUE'S                           ,"3232 L STREET
OMAHA, NE
(41.21226189997884, -95.96228051050122)"
C     ,Beer/liquor on/off sale,DANNY'S BAR & GRILL                 ,"2007 72 STREET
OMAHA, NE
(41.240200594428174, -96.02390917505218)"
C     ,Beer/liquor on/off sale,DINKERS BAR                         ,"2368 29 STREET
OMAHA, NE
(41.23706983305537, -95.95445736670875)"
C     ,Beer/liquor on/off sale,DUNDEE CORK & BOTTLE                ,"614 616 NO 50TH ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,DUNDEE DELL                         ,"5007 UNDERWOOD
OMAHA, NE
(41.2650250480355, -95.9904584436492)"
C     ,Beer/liquor on/off sale,DOWNTOWN BLUES COMPANY              ,"1512 HOWARD STREET
OMAHA, NE
(41.25549230992726, -95.93639802249794)"
C     ,Beer/liquor on/off sale,DUNN DEAL CAFE                      ,"2310 16TH ST
OMAHA, NE
(41.23805495071812, -95.93741294602418)"
C     ,Beer/liquor on/off sale,DOWNUNDER BAR                       ,"3804 LEAVENWORTH
OMAHA, NE
(41.25243547848646, -95.96919150055507)"
C     ,Beer/liquor on/off sale,DARBY'S TAVERN                      ,"6503 SUNSHINE DR
OMAHA, NE
(41.19435723432904, -95.976092009973)"
C     ,Beer/liquor on/off sale,DRIFT INN                           ,"4332 SO 33RD ST
OMAHA, NE
(41.21688883657389, -95.96259620846129)"
C     ,Beer/liquor on/off sale,DROVER                              ,"2121 SO 73RD ST
OMAHA, NE
(41.239079682892566, -96.02621331356414)"
C     ,Beer/liquor on/off sale,DARIO'S BRASSERIE                   ,"4920 UNDERWOOD AVE
OMAHA, NE
(41.2650790827596, -95.98970983239485)"
C     ,Beer/liquor on/off sale,E'Z PLACE                           ,"15761 DODGE ROAD
OMAHA, NE
(41.26257834265785, -96.16074297021817)"
C     ,Beer/liquor on/off sale,EXTREME PIZZA                       ,"741 114TH STREET
OMAHA, NE
(41.267158126667965, -96.09133297027014)"
C     ,Beer/liquor on/off sale,EAGLES FRAT AERIE 38                ,"201 24 STREET
OMAHA, NE
(41.26072628802091, -95.94679320078725)"
C     ,Beer/liquor on/off sale,EAGLES FRAT ORDER 154               ,"6607 SUNSHINE DRIVE
OMAHA, NE
(41.192872517027126, -95.97806361211542)"
C     ,Beer/liquor on/off sale,EAGLE RUN GOLF COURSE               ,"3435 NO 132ND ST
OMAHA, NE
(41.290257794155096, -96.11959762660958)"
C     ,Beer/liquor on/off sale,EAT THE WORM                        ,"1213 HOWARD STREET
OMAHA, NE
(41.25539252104522, -95.93205493760676)"
C     ,Beer/liquor on/off sale,ELBOW ROOM                          ,"4973 CENTER STREET
OMAHA, NE
(41.241497995692555, -95.9894902154568)"
C     ,Beer/liquor on/off sale,ELKS                                ,"2420 LAKE STREET
OMAHA, NE
(41.2815186894552, -95.94808021565854)"
C     ,Beer/liquor on/off sale,ELKS BPO OMAHA LODGE 39             ,"6410 96 STREET
OMAHA, NE
(41.192469858331144, -96.06210746173235)"
C     ,Beer/liquor on/off sale,EL CATRIN                           ,"6500 RAILROAD AVENUE
OMAHA, NE
(41.19378083227673, -95.93965356824401)"
C     ,Beer/liquor on/off sale,ELITE LOUNGE & GRILLE               ,"11009 ELM STREET
OMAHA, NE
(41.23259610315654, -96.08381050141702)"
C     ,Beer/liquor on/off sale,ELITE LOUNGE & GRILLE               ,"11009 ELM ST
OMAHA, NE
(41.23259610315654, -96.08381050141702)"
C     ,Beer/liquor on/off sale,EL MUNDO DE MEXICO                  ,"2415 M STREET
OMAHA, NE
(41.210995954319515, -95.94731187716876)"
C     ,Beer/liquor on/off sale,ELEMENT OMAHA AT MIDTOWN CROSSINGS  ,"3253 DODGE ST
OMAHA, NE
(41.25971350701691, -95.9609855781375)"
C     ,Beer/liquor on/off sale,EL RANCHO RESTAURANT                ,"2030 MARTHA STREET
OMAHA, NE
(41.23824331340529, -95.94384440890053)"
C     ,Beer/liquor on/off sale,FUZZY'S NEW                         ,"4024 24 STREET
OMAHA, NE
(41.22060214828676, -95.94710089394508)"
C     ,Beer/liquor on/off sale,FETA'S GYROS & CATERING             ,"743 114TH STREET
OMAHA, NE
(41.26718216707018, -96.09138480738743)"
C     ,Beer/liquor on/off sale,FETA'S GYROS & CATERING             ,"14544 CENTER RD
OMAHA, NE
(41.233980237706014, -96.14161477276294)"
C     ,Beer/liquor on/off sale,FOURSOMES GRILL GOLF SPIRITS        ,"3510 167TH CIR
OMAHA, NE
(41.290477879269616, -96.17626421753513)"
C     ,Beer/liquor on/off sale,FAREWAY STORES 43                   ,"17070 AUDREY STREET
OMAHA, NE
(41.18941912043459, -96.18077079751964)"
C     ,Beer/liquor on/off sale,FUDDRUCKERS                         ,"7059 DODGE STREET
OMAHA, NE
(41.25960221160119, -96.02347937459507)"
C     ,Beer/liquor on/off sale,FEDORA LOUNGE                       ,"711 713 N 114TH ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,FULL HOUSE                          ,"6135 MILITARY AVENUE
OMAHA, NE
(41.28615919112639, -96.00894633060159)"
C     ,Beer/liquor on/off sale,FLIXX                               ,"1019 10 STREET
OMAHA, NE
(41.24983021961172, -95.92924912151165)"
C     ,Beer/liquor on/off sale,FIELD CLUB OF OMAHA                 ,"3615 WOOLWORTH AVE
OMAHA, NE
(41.24515851875751, -95.96665091090787)"
C     ,Beer/liquor on/off sale,FIELD CLUB OF OMAHA                 ,"3615 WOOLWORTH AVE
OMAHA, NE
(41.24515851875751, -95.96665091090787)"
C     ,Beer/liquor on/off sale,FLATIRON CAFE                       ,"1722 ST MARY'S AVE
OMAHA, NE
(41.25531244552138, -95.93888914451912)"
C     ,Beer/liquor on/off sale,FLEMING'S PRIME STEAKHOUSE/WINE BAR ,"140 REGENCY PARKWAY
OMAHA, NE
(41.25982967602598, -96.06977491359955)"
C     ,Beer/liquor on/off sale,FAN TAN CLUB                        ,"5915 CENTER ST
OMAHA, NE
(41.23786559815301, -96.00382019503456)"
C     ,Beer/liquor on/off sale,"FOUNDATION, THE                     ","1407 HARNEY STREET
OMAHA, NE
(41.256553509921844, -95.93501306657282)"
C     ,Beer/liquor on/off sale,FIREFIGHTERS LOCAL 385              ,"6005 GROVER ST
OMAHA, NE
(41.22695682193756, -96.00555588655112)"
C     ,Beer/liquor on/off sale,FORTY & EIGHT CLUB                  ,"3113 70 STREET
OMAHA, NE
(41.230494839531296, -96.02150069896435)"
C     ,Beer/liquor on/off sale,FRENCH CAFE                         ,"1013 15-17 HOWARD ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,FARMHOUSE CAFE & DELICATESSEN       ,"3461 SO 84TH ST
OMAHA, NE
(41.22860788870808, -96.0430389501634)"
C     ,Beer/liquor on/off sale,"GETAWAY LOUNGE, THE                 ","4745 SO 96TH ST
OMAHA, NE
(41.211187842165536, -96.06210729550375)"
C     ,Beer/liquor on/off sale,GATOR OMALLEYS PUB                  ,"12143 WEST CENTER
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,"GETAWAY LOUNGE, THE                 ","4745 96TH ST
OMAHA, NE
(41.211187842165536, -96.06210729550375)"
C     ,Beer/liquor on/off sale,GOLDBERGS BAR                       ,"2936 40 SO 132ND ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,GENEAUX'S LOUNGE                    ,"5051 108TH ST
OMAHA, NE
(41.20754797678272, -96.08135009429802)"
C     ,Beer/liquor on/off sale,GROVER INN                          ,"3505 42 STREET
OMAHA, NE
(41.22694279332342, -95.9757793987225)"
C     ,Beer/liquor on/off sale,GREEK ISLANDS                       ,"3821 CENTER STREET
OMAHA, NE
(41.241525838812265, -95.96918730368623)"
C     ,Beer/liquor on/off sale,GORAT'S STEAK HOUSE                 ,"4917 CENTER ST
OMAHA, NE
(41.24155281847311, -95.98864863240027)"
C     ,Beer/liquor on/off sale,GRANITE CITY FOOD & BREWERY         ,"1001 102 STREET
OMAHA, NE
(41.267731298546124, -96.07140824982702)"
C     ,Beer/liquor on/off sale,GRANT STREET BAR & GRILL            ,"8919 GRANT STREET
OMAHA, NE
(41.27952292430378, -96.05107166197665)"
C     ,Beer/liquor on/off sale,GREEN ONION                         ,"11414 DAVENPORT
OMAHA, NE
(41.260419262660875, -96.09150194684983)"
C     ,Beer/liquor on/off sale,GERMAN AMERICAN SOCIETY             ,"3717 SO 120TH
OMAHA, NE
(41.22304217579514, -96.10066956690596)"
C     ,Beer/liquor on/off sale,HY VEE 8                            ,"747 132 STREET
OMAHA, NE
(41.25359932560184, -96.11951924232562)"
C     ,Beer/liquor on/off sale,HY VEE 4                            ,"10808 FORT STREET
OMAHA, NE
(41.306708699495914, -96.08310442513766)"
C     ,Beer/liquor on/off sale,HY VEE 5                            ,"7910 CASS STREET
OMAHA, NE
(41.26334339124304, -96.03771564231891)"
C     ,Beer/liquor on/off sale,HY VEE FOOD STORE 6                 ,"9707 Q STREET
OMAHA, NE
(41.20533712035319, -96.06340927269599)"
C     ,Beer/liquor on/off sale,HY VEE FOOD STORE 1                 ,"5150 CENTER STREET
OMAHA, NE
(41.24127402864406, -95.99299235780182)"
C     ,Beer/liquor on/off sale,HAPPY BAR                           ,"601 NO 16TH ST
OMAHA, NE
(41.26501613021753, -95.9371174801214)"
C     ,Beer/liquor on/off sale,HY VEE DRUGSTORE                    ,"8404 30 STREET
OMAHA, NE
(41.3362951284976, -95.96046429259779)"
C     ,Beer/liquor on/off sale,HAPPY HOLLOW CLUB                   ,"1701 SO 105TH ST
OMAHA, NE
(41.24199348626746, -96.07658434042526)"
C     ,Beer/liquor on/off sale,HOUSE OF HUNAN                      ,"2405 132 STREET
OMAHA, NE
(41.23649705802663, -96.11944159739211)"
C     ,Beer/liquor on/off sale,HATFIELD'S CORNER                   ,"6002 42ND ST
OMAHA, NE
(41.19797364524625, -95.97703030528795)"
C     ,Beer/liquor on/off sale,"HIDE OUT, THE                       ","322 72ND ST
OMAHA, NE
(41.262064636953234, -96.02398434525773)"
C     ,Beer/liquor on/off sale,HILLSIDE PUB                        ,"8033 BLONDO
OMAHA, NE
(41.27775367570812, -96.03671887249232)"
C     ,Beer/liquor on/off sale,HOLIDAY LOUNGE                      ,"7846 DODGE ST
OMAHA, NE
(41.2597821311853, -96.03629435319479)"
C     ,Beer/liquor on/off sale,HILTON GARDEN INN                   ,"17879 CHICAGO STREET
OMAHA, NE
(41.261733604810615, -96.19274077372961)"
C     ,Beer/liquor on/off sale,HILTON OMAHA                        ,"1001 CASS STREET
OMAHA, NE
(41.2636761403939, -95.9313438326933)"
C     ,Beer/liquor on/off sale,HAMPTON INN & SUITES OMAHA DOWNTOWN ,"1212 CUMING STREET
OMAHA, NE
(41.26809181155778, -95.93214422929935)"
C     ,Beer/liquor on/off sale,HANG OUT LOUNGE                     ,"14901 INDUSTRIAL RD
OMAHA, NE
(41.22970874734722, -96.14700125531942)"
C     ,Beer/liquor on/off sale,HOMEWOOD SUITES OMAHA DOWNTOWN      ,"1314 CUMING STREET
OMAHA, NE
(41.268019865795395, -95.93317844963303)"
C     ,Beer/liquor on/off sale,HOMY INN                            ,"1510 SADDLECREEK
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,HORSEMEN'S PARK                     ,"6303 Q STREET
OMAHA, NE
(41.2051879988867, -96.01107109818221)"
C     ,Beer/liquor on/off sale,HAROLD'S BAR                        ,"8558 BLONDO ST
OMAHA, NE
(41.27784046235536, -96.04741033379474)"
C     ,Beer/liquor on/off sale,INTERLUDE LOUNGE                    ,"7643 PACIFIC ST
OMAHA, NE
(41.248755524469004, -96.03187482641367)"
C     ,Beer/liquor on/off sale,DENIM AND DIAMONDS                  ,"302 11TH ST
OMAHA, NE
(41.257465944489816, -95.93063345719888)"
C     ,Beer/liquor on/off sale,JOBY C'S MIDTOWN TAVERN             ,"2514 LEAVENWORTH ST
OMAHA, NE
(41.25241662858707, -95.94899752412846)"
C     ,Beer/liquor on/off sale,JOE BANANAS                         ,"1018 20-22-24 S 10TH
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,"JAIPUR, THE                         ","10922 ELM STREET
OMAHA, NE
(41.232756322218286, -96.08287530953709)"
C     ,Beer/liquor on/off sale,JOSEPHINE'S COZY CORNER LOUNGE      ,"2201 PIERCE STREET
OMAHA, NE
(41.24817182860875, -95.94477071059072)"
C     ,Beer/liquor on/off sale,J.J.'S BAR & GRILL                  ,"3201 24TH STREET
OMAHA, NE
(41.22938768938279, -95.946991087016)"
C     ,Beer/liquor on/off sale,J C'S BAR                           ,"4971 Q ST
OMAHA, NE
(41.20530114747203, -95.99104082899822)"
C     ,Beer/liquor on/off sale,JACK'S PLACE                        ,"1818 203RD STREET
OMAHA, NE
(41.27603670758236, -96.23328333163361)"
C     ,Beer/liquor on/off sale,JOE'S DUCK INN                      ,"13336 MILLARD AVE
OMAHA, NE
(41.210202452531746, -96.12343002493145)"
C     ,Beer/liquor on/off sale,JOE TESS PLACE                      ,"5424 24 STREET
OMAHA, NE
(41.20350045433502, -95.94714584059194)"
C     ,Beer/liquor on/off sale,J D'S CIRCLE IN                     ,"3602 31 STREET
OMAHA, NE
(41.226077817597854, -95.95855968997773)"
C     ,Beer/liquor on/off sale,JULIO'S                             ,"510 SO 13TH ST
OMAHA, NE
(41.25508761501408, -95.93327737505626)"
C     ,Beer/liquor on/off sale,JULIO'S WEST                        ,"2820 123RD CT
OMAHA, NE
(41.232312332843975, -96.10575030676333)"
C     ,Beer/liquor on/off sale,JOHNNY Z'S                          ,"4130 24TH STREET
OMAHA, NE
(41.21932894356588, -95.94710374912393)"
C     ,Beer/liquor on/off sale,JOHNNY'S CAFE                       ,"4702 SO 27TH ST
OMAHA, NE
(41.21145251015247, -95.95144368004816)"
C     ,Beer/liquor on/off sale,JONESY'S TACO HOUSE                 ,"1502 60TH STREET
OMAHA, NE
(41.273235199424775, -96.00490937349548)"
C     ,Beer/liquor on/off sale,JIMMY C'S HOMESTYLE CAFE            ,"8505 30 STREET
OMAHA, NE
(41.3372619011474, -95.96059910139198)"
C     ,Beer/liquor on/off sale,JOHNNY'S ITALIAN STEAKHOUSE         ,"305 170 STREET
OMAHA, NE
(41.260891996850184, -96.18137793262376)"
C     ,Beer/liquor on/off sale,JIM'S LAST CALL                     ,"4302 42ND STREET
OMAHA, NE
(41.217218290299805, -95.97615408126177)"
C     ,Beer/liquor on/off sale,"JOINT, THE                          ","2514 16
LEAVENWORTH OMAHA, NE
"
C     ,Beer/liquor on/off sale,JERRY'S BAR                         ,"6301 MILITARY AVENUE
OMAHA, NE
(41.28742723518769, -96.0096927678859)"
C     ,Beer/liquor on/off sale,KO ZEE LOUNGE                       ,"5813 60TH ST
OMAHA, NE
(41.31171253554397, -96.00452721187192)"
C     ,Beer/liquor on/off sale,SEMPECK'S BOWLING                   ,"20902 CUMBERLAND DR
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,KELLEY'S HILLTOP LANES              ,"1313 NO 48TH AVE
OMAHA, NE
(41.27105957425448, -95.98615751037914)"
C     ,Beer/liquor on/off sale,KELLEY'S NORTH BOWL                 ,"8701 30TH STREET
OMAHA, NE
(41.33907948776746, -95.96111098597873)"
C     ,Beer/liquor on/off sale,KURT & CLYDE'S                      ,"2202 13 STREET
OMAHA, NE
(41.23939606228289, -95.93339612729211)"
C     ,Beer/liquor on/off sale,KENDALL'S TAVERN                    ,"6310 GILMORE AVE
OMAHA, NE
(41.19507585599888, -95.94506748686041)"
C     ,Beer/liquor on/off sale,KNOLLS GOLF COURSE                  ,"11630 SAHLER STREET
OMAHA, NE
(41.29696355194425, -96.09474410436883)"
C     ,Beer/liquor on/off sale,KRUG PARK                           ,"6205 MAPLE STREET
OMAHA, NE
(41.28499906570863, -96.0086765339928)"
C     ,Beer/liquor on/off sale,KIRK'S LOUNGE                       ,"5216 NO 24TH ST
OMAHA, NE
(41.30633997746389, -95.9469021038002)"
C     ,Beer/liquor on/off sale,KURT & CLYDES                       ,"2202 SO 13TH ST
OMAHA, NE
(41.23926854051871, -95.93332234115775)"
C     ,Beer/liquor on/off sale,"KORNER BAR, THE                     ","3824 Q STREET
OMAHA, NE
(41.205391079674996, -95.9713996358783)"
C     ,Beer/liquor on/off sale,LA BUVETTE                          ,"511 SO 11TH ST
OMAHA, NE
(41.254997682811165, -95.93053444286693)"
C     ,Beer/liquor on/off sale,LAVA JAY'S BAR & LOUNGE             ,"3623 129 STREET
OMAHA, NE
(41.291814312884966, -96.1150835814777)"
C     ,Beer/liquor on/off sale,LEAVENWORTH BAR                     ,"4556 LEAVENWORTH ST
OMAHA, NE
(41.25245856468736, -95.98195216139271)"
C     ,Beer/liquor on/off sale,LIBRARY PUB                         ,"5142 90TH ST
OMAHA, NE
(41.205906743988955, -96.05248507597483)"
C     ,Beer/liquor on/off sale,LOUIS BAR & GRILL                   ,"5702 RADIAL HWY
OMAHA, NE
(41.28505388848919, -96.0006182988693)"
C     ,Beer/liquor on/off sale,LA CASA PIZZARIA                    ,"4432 LEAVENWORTH ST
OMAHA, NE
(41.25239864214649, -95.98043782227279)"
C     ,Beer/liquor on/off sale,LA CASA PIZZARIA WEST               ,"8216 GROVER STREET
OMAHA, NE
(41.22676796431142, -96.0404315948474)"
C     ,Beer/liquor on/off sale,LIGHTHOUSE BAR & GRILL              ,"15676 MAPLE RD
OMAHA, NE
(41.292284437604735, -96.15929710711099)"
C     ,Beer/liquor on/off sale,LIQUID LOUNGE                       ,"11341 DAVENPORT ST
OMAHA, NE
(41.260267755801856, -96.08951602139996)"
C     ,Beer/liquor on/off sale,LO SOLE MIO RISTORANTE ITALIANO     ,"3001 32ND AVE
OMAHA, NE
(41.23220845030597, -95.96032830147006)"
C     ,Beer/liquor on/off sale,LEGENDS PATIO GRILL & BAR           ,"6910 102ND CIRCLE
OMAHA, NE
(41.3218220572753, -96.07228406496579)"
C     ,Beer/liquor on/off sale,TQUILA                              ,"3050 L ST
OMAHA, NE
(41.212270893199104, -95.95983435458152)"
C     ,Beer/liquor on/off sale,LITTLE POLONIA BAR                  ,"3804 Q STREET
OMAHA, NE
(41.205391079674996, -95.97073413757664)"
C     ,Beer/liquor on/off sale,LIT TAPAS RESTAURANT & LOUNGE       ,"1129 180 STREET
OMAHA, NE
(41.269365874139766, -96.19630577654834)"
C     ,Beer/liquor on/off sale,HOUSE OF LOOM                       ,"1012 10TH STREET
OMAHA, NE
(41.24986623374765, -95.92939457841177)"
C     ,Beer/liquor on/off sale,LYNX LOUNGE                         ,"1604 NO 47TH
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,LA MESA MEXICAN RESTAURANT          ,"11002 EMMET STREET
OMAHA, NE
(41.289216886026, -96.08544266241387)"
C     ,Beer/liquor on/off sale,LA MESA MEXICAN RESTAURANT          ,"5055 155TH ST
OMAHA, NE
(41.304349506949485, -96.15631385023396)"
C     ,Beer/liquor on/off sale,LEMON DROP BAR & GRILL              ,"5423 36TH STREET
OMAHA, NE
(41.202517815714614, -95.96728951804482)"
C     ,Beer/liquor on/off sale,MVP LOUNGE                          ,"5434 99 STREET
OMAHA, NE
(41.20396920159902, -96.06772975056269)"
C     ,Beer/liquor on/off sale,MY PLACE                            ,"2229 LAKE STREET
OMAHA, NE
(41.2815186894552, -95.94641646990436)"
C     ,Beer/liquor on/off sale,MAPLEWOOD LANES                     ,"3030 101 STREET
OMAHA, NE
(41.23132534295434, -96.07113186023483)"
C     ,Beer/liquor on/off sale,MAX                                 ,"1417 JACKSON ST
OMAHA, NE
(41.25435427789909, -95.93479730190147)"
C     ,Beer/liquor on/off sale,M'S PUB INC                         ,"422 SO 11TH ST
OMAHA, NE
(41.255870025179604, -95.93053444286693)"
C     ,Beer/liquor on/off sale,MICS KARAOKE BAR                    ,"1212 119TH ST
OMAHA, NE
(41.24765944478151, -96.09884079334473)"
C     ,Beer/liquor on/off sale,MACKY D'S LOUNGE                    ,"8414 18 Q STREET
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,MOCKINGBIRD LANES                   ,"4870 96 STREET
OMAHA, NE
(41.21008903151767, -96.06222757986922)"
C     ,Beer/liquor on/off sale,MUSETTE BAR                         ,"6020 MAPLE STREET
OMAHA, NE
(41.28499906570863, -96.00569977807584)"
C     ,Beer/liquor on/off sale,MISTER TOAD                         ,"1002 04 HOWARD ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,MICHAELS AT THE MARKET              ,"1102 HARNEY STREET
OMAHA, NE
(41.25651753704068, -95.93073229371339)"
C     ,Beer/liquor on/off sale,MOE & CURLY'S PUB                   ,"2946 108TH ST
OMAHA, NE
(41.23227417822102, -96.08156222834772)"
C     ,Beer/liquor on/off sale,MYTH                                ,"1105 HOWARD STREET
OMAHA, NE
(41.25544734382578, -95.93111000896567)"
C     ,Beer/liquor on/off sale,MT FUJI INN                         ,"7215 BLONDO STREET
OMAHA, NE
(41.27780448947419, -96.02470245255495)"
C     ,Beer/liquor on/off sale,MITCH'S BAR                         ,"5106 156 STREET
OMAHA, NE
(41.3045235938902, -96.15814278015156)"
C     ,Beer/liquor on/off sale,MEDITERRANEAN BISTRO                ,"1710 1712 N 120TH ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,MOLLY'S PUB                         ,"8525 PARK DRIVE
OMAHA, NE
(41.20135967062974, -96.04507688195005)"
C     ,Beer/liquor on/off sale,MY WAY LOUNGE                       ,"2425 NO 84TH ST
OMAHA, NE
(41.280880170814385, -96.04338137110346)"
C     ,Beer/liquor on/off sale,MALONEY'S IRISH PUB                 ,"1830 72 STREET
OMAHA, NE
(41.276003619593595, -96.0239660100752)"
C     ,Beer/liquor on/off sale,MALARA'S                            ,"2119 23 PIERCE ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,MAMA'S PIZZA                        ,"715 SADDLE CRK RD
OMAHA, NE
(41.25313280757582, -95.98445678007425)"
C     ,Beer/liquor on/off sale,MR BILLS                            ,"4928 26TH ST
OMAHA, NE
(41.209228835474356, -95.95006233491466)"
C     ,Beer/liquor on/off sale,MARKS                               ,"4916 UNDERWOOD AVE
OMAHA, NE
(41.2650790827596, -95.98945802222664)"
C     ,Beer/liquor on/off sale,MARKET BASKET                       ,"911 13 S 87 AVENUE
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,MIRACLE HILL GOLF AND TENNIS CENTER ,"1401 120TH STREET
OMAHA, NE
(41.245213630874474, -96.10063047214203)"
C     ,Beer/liquor on/off sale,MARQUEE LOUNGE                      ,"14809 MAPLE
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,"MARQUEE LOUNGE, THE                 ","14809 MAPLE ROAD
OMAHA, NE
(41.29201421759914, -96.14503969379683)"
